question_text,subject,cognitive_level_bloom,readability_score,word_count,sentence_count,time_taken_minutes,total_students_attempted,correct_attempts,incorrect_attempts,correct_percentage,learning_gap_score,discrimination_index,difficulty_label,assessment_quality_score
Compute circuit resistance for scenario number 889.,Physics,remember,53.66,40,3,14,113,93,20,0.827,0.196,0.669,easy,0.743
Describe inheritance in scenario number 890.,Computer Science,evaluate,77.76,24,3,19,171,39,132,0.23,0.801,0.537,hard,0.377
Describe inheritance in scenario number 891.,Computer Science,evaluate,80.07,46,1,19,189,60,129,0.321,0.695,0.883,hard,0.599
Calculate efficiency of machine with scenario number 892.,Engineering Aptitude,apply,61.49,33,1,13,286,138,148,0.485,0.517,0.997,medium,0.741
Describe inheritance in scenario number 893.,Computer Science,evaluate,79.64,15,1,14,237,65,172,0.278,0.764,0.522,hard,0.392
Determine projectile motion range for scenario number 894.,Physics,evaluate,74.73,26,1,16,271,108,163,0.399,0.611,0.656,hard,0.525
Find derivative of function scenario number 895.,Mathematics,apply,62.29,24,1,9,255,157,98,0.616,0.43,0.704,medium,0.651
Find derivative of function scenario number 896.,Mathematics,apply,57.87,26,3,11,205,125,80,0.61,0.395,0.886,medium,0.747
Find derivative of function scenario number 897.,Mathematics,apply,62.38,40,2,3,115,48,67,0.421,0.603,0.586,medium,0.499
Compute circuit resistance for scenario number 898.,Physics,analyze,66.29,22,2,9,250,136,114,0.546,0.491,0.933,medium,0.732
Compute circuit resistance for scenario number 899.,Physics,analyze,64.39,27,2,5,134,58,76,0.44,0.599,0.632,medium,0.528
Compute circuit resistance for scenario number 900.,Physics,create,88.67,46,2,15,196,37,159,0.192,0.841,0.62,hard,0.399
Calculate electric field for scenario number 901.,Physics,analyze,59.21,29,2,21,206,102,104,0.496,0.541,0.644,medium,0.562
Implement binary search for scenario number 902.,Computer Science,understand,51.06,32,1,21,172,141,31,0.822,0.209,0.566,easy,0.688
Describe inheritance in scenario number 903.,Computer Science,evaluate,85.12,27,3,14,150,32,118,0.214,0.824,0.548,hard,0.373
Compute definite integral of scenario number 904.,Mathematics,remember,47.14,32,2,19,167,130,37,0.782,0.257,0.886,easy,0.826
Determine stress on beam under scenario number 905.,Engineering Aptitude,understand,43.42,16,1,19,297,243,54,0.821,0.207,0.743,easy,0.776
Analyze flowchart representing scenario number 906.,Engineering Aptitude,analyze,62.57,17,3,6,140,65,75,0.467,0.556,0.633,medium,0.546
Analyze flowchart representing scenario number 907.,Engineering Aptitude,create,84.69,24,2,16,276,104,172,0.38,0.629,0.626,hard,0.501
Analyze flowchart representing scenario number 908.,Engineering Aptitude,understand,46.1,38,2,18,208,166,42,0.802,0.206,0.806,easy,0.802
Solve the quadratic equation scenario number 909.,Mathematics,understand,48.49,21,3,17,178,133,45,0.749,0.258,0.651,easy,0.699
Analyze time complexity of scenario number 910.,Computer Science,apply,68.43,23,2,6,212,145,67,0.684,0.337,0.505,medium,0.59
Determine projectile motion range for scenario number 911.,Physics,understand,46.64,23,3,5,217,143,74,0.661,0.372,0.717,medium,0.682
Calculate efficiency of machine with scenario number 912.,Engineering Aptitude,evaluate,86.39,21,2,7,190,46,144,0.244,0.783,0.585,hard,0.409
Compute definite integral of scenario number 913.,Mathematics,evaluate,76.45,36,3,12,286,75,211,0.266,0.737,0.522,hard,0.393
Analyze time complexity of scenario number 914.,Computer Science,create,84.41,25,3,8,228,68,160,0.301,0.699,0.903,hard,0.602
Determine stress on beam under scenario number 915.,Engineering Aptitude,analyze,56.19,28,3,7,285,196,89,0.689,0.343,0.512,medium,0.594
Find derivative of function scenario number 916.,Mathematics,apply,61.45,44,1,15,100,69,31,0.698,0.335,0.525,medium,0.605
Evaluate matrix determinant for scenario number 917.,Mathematics,apply,56.57,44,1,19,147,71,76,0.485,0.562,0.921,medium,0.694
Analyze time complexity of scenario number 918.,Computer Science,analyze,65.84,39,1,3,259,149,110,0.576,0.468,0.827,medium,0.693
Find derivative of function scenario number 919.,Mathematics,understand,45.24,23,1,16,263,203,60,0.775,0.259,0.536,easy,0.649
Describe inheritance in scenario number 920.,Computer Science,understand,43.85,18,1,20,136,121,15,0.893,0.133,0.652,easy,0.767
Calculate electric field for scenario number 921.,Physics,understand,45.44,30,2,4,164,125,39,0.764,0.279,0.616,easy,0.681
Compute definite integral of scenario number 922.,Mathematics,evaluate,82.15,29,2,21,126,40,86,0.323,0.71,0.618,hard,0.464
Implement binary search for scenario number 923.,Computer Science,apply,56.47,46,1,15,280,118,162,0.424,0.625,0.892,medium,0.648
Explain database normalization of scenario number 924.,Computer Science,evaluate,88.44,39,3,13,211,53,158,0.253,0.789,0.675,hard,0.456
Analyze time complexity of scenario number 925.,Computer Science,understand,46.37,49,1,8,249,207,42,0.835,0.204,0.778,easy,0.799
Calculate efficiency of machine with scenario number 926.,Engineering Aptitude,apply,64.69,30,1,6,246,97,149,0.395,0.652,0.599,hard,0.488
Calculate electric field for scenario number 927.,Physics,understand,53.13,15,3,7,165,131,34,0.796,0.223,0.747,easy,0.768
Determine projectile motion range for scenario number 928.,Physics,understand,48.69,30,3,4,205,169,36,0.827,0.178,0.802,easy,0.813
Analyze flowchart representing scenario number 929.,Engineering Aptitude,understand,41.81,17,2,22,240,196,44,0.818,0.187,0.715,easy,0.765
Describe inheritance in scenario number 930.,Computer Science,analyze,57.62,37,2,20,130,55,75,0.428,0.62,0.643,medium,0.526
Calculate efficiency of machine with scenario number 931.,Engineering Aptitude,create,78.48,28,1,13,118,16,102,0.139,0.862,0.845,hard,0.492
Evaluate matrix determinant for scenario number 932.,Mathematics,evaluate,76.03,26,3,24,217,54,163,0.251,0.778,0.757,hard,0.498
Explain database normalization of scenario number 933.,Computer Science,analyze,62.44,31,3,6,154,78,76,0.507,0.519,0.652,medium,0.574
Evaluate logical reasoning pattern in scenario number 934.,Engineering Aptitude,evaluate,83.76,17,1,19,143,19,124,0.135,0.896,0.722,hard,0.422
Solve the quadratic equation scenario number 935.,Mathematics,create,73.76,18,3,19,207,39,168,0.193,0.84,0.833,hard,0.506
Evaluate logical reasoning pattern in scenario number 936.,Engineering Aptitude,remember,44.29,45,3,14,100,87,13,0.879,0.131,0.614,easy,0.745
Determine stress on beam under scenario number 937.,Engineering Aptitude,analyze,59.19,40,1,16,260,130,130,0.502,0.533,0.779,medium,0.633
Compute circuit resistance for scenario number 938.,Physics,apply,58.84,45,1,11,221,106,115,0.48,0.55,0.936,medium,0.702
Explain database normalization of scenario number 939.,Computer Science,apply,69.98,15,1,24,246,171,75,0.699,0.343,0.805,medium,0.744
Compute circuit resistance for scenario number 940.,Physics,apply,55.6,47,1,8,239,142,97,0.595,0.435,0.667,medium,0.625
Solve the quadratic equation scenario number 941.,Mathematics,remember,52.27,30,3,18,145,44,101,0.31,0.733,0.57,hard,0.431
Calculate efficiency of machine with scenario number 942.,Engineering Aptitude,remember,48.16,48,1,21,186,156,30,0.843,0.169,0.939,easy,0.889
Analyze flowchart representing scenario number 943.,Engineering Aptitude,remember,52.2,21,3,24,288,211,77,0.734,0.28,0.606,easy,0.667
Determine stress on beam under scenario number 944.,Engineering Aptitude,create,82.07,42,1,10,279,70,209,0.252,0.797,0.638,hard,0.435
Determine projectile motion range for scenario number 945.,Physics,understand,51.89,15,3,24,260,230,30,0.886,0.156,0.998,easy,0.934
Analyze time complexity of scenario number 946.,Computer Science,create,70.45,37,2,22,141,24,117,0.172,0.868,0.528,hard,0.342
Explain database normalization of scenario number 947.,Computer Science,remember,45.54,30,2,16,224,184,40,0.823,0.207,0.774,easy,0.792
Implement binary search for scenario number 948.,Computer Science,remember,49.61,35,3,17,249,199,50,0.8,0.242,0.851,easy,0.817
Evaluate logical reasoning pattern in scenario number 949.,Engineering Aptitude,create,85.78,23,1,3,101,33,68,0.332,0.689,0.874,hard,0.599
Compute circuit resistance for scenario number 950.,Physics,create,89.23,39,2,6,193,54,139,0.281,0.724,0.786,hard,0.533
Solve the quadratic equation scenario number 951.,Mathematics,remember,47.51,31,3,7,220,162,58,0.738,0.288,0.764,easy,0.746
Compute circuit resistance for scenario number 952.,Physics,remember,52.16,49,1,9,132,100,32,0.759,0.261,0.671,easy,0.711
Calculate electric field for scenario number 953.,Physics,evaluate,86.64,36,2,21,215,56,159,0.263,0.745,0.873,hard,0.566
Calculate efficiency of machine with scenario number 954.,Engineering Aptitude,remember,40.13,41,1,13,179,147,32,0.826,0.211,0.686,easy,0.749
Analyze time complexity of scenario number 955.,Computer Science,analyze,65.8,41,1,14,144,75,69,0.525,0.511,0.761,medium,0.636
Compute circuit resistance for scenario number 956.,Physics,remember,41.11,19,3,18,117,105,12,0.9,0.145,0.905,easy,0.893
Compute circuit resistance for scenario number 957.,Physics,remember,45.61,19,3,10,181,155,26,0.857,0.158,0.957,easy,0.904
Solve the quadratic equation scenario number 958.,Mathematics,apply,67.61,30,3,8,268,124,144,0.463,0.552,0.589,medium,0.523
Explain database normalization of scenario number 959.,Computer Science,understand,53.53,30,1,18,175,148,27,0.849,0.2,0.719,easy,0.774
Determine stress on beam under scenario number 960.,Engineering Aptitude,create,87.22,17,3,3,220,66,154,0.304,0.714,0.573,hard,0.435
Apply Newton law to system scenario number 961.,Physics,evaluate,78.12,41,1,19,155,30,125,0.198,0.852,0.834,hard,0.506
Find derivative of function scenario number 962.,Mathematics,analyze,55.66,37,3,24,237,126,111,0.535,0.482,0.719,medium,0.624
Implement binary search for scenario number 963.,Computer Science,create,75.25,31,3,24,199,48,151,0.245,0.789,0.89,hard,0.561
Compute circuit resistance for scenario number 964.,Physics,evaluate,70.4,27,3,3,111,34,77,0.315,0.719,0.738,hard,0.52
Determine stress on beam under scenario number 965.,Engineering Aptitude,remember,49.63,38,3,7,168,134,34,0.8,0.218,0.639,easy,0.716
Apply Newton law to system scenario number 966.,Physics,evaluate,82.86,30,1,17,176,58,118,0.331,0.697,0.941,hard,0.63
Evaluate logical reasoning pattern in scenario number 967.,Engineering Aptitude,analyze,62.92,40,2,3,256,124,132,0.487,0.526,0.965,medium,0.724
Implement binary search for scenario number 968.,Computer Science,understand,42.59,29,3,9,181,153,28,0.849,0.166,0.653,easy,0.748
Analyze time complexity of scenario number 969.,Computer Science,understand,52.57,45,3,5,135,110,25,0.816,0.19,0.731,easy,0.772
Analyze time complexity of scenario number 970.,Computer Science,create,86.9,47,1,3,104,33,71,0.325,0.707,0.678,hard,0.495
Implement binary search for scenario number 971.,Computer Science,evaluate,70.98,18,2,21,194,68,126,0.352,0.649,0.683,hard,0.517
Compute circuit resistance for scenario number 972.,Physics,apply,58.56,45,1,8,293,154,139,0.528,0.522,0.777,medium,0.642
Find derivative of function scenario number 973.,Mathematics,analyze,68.96,36,1,4,139,57,82,0.416,0.605,0.854,medium,0.631
Find derivative of function scenario number 974.,Mathematics,analyze,61.94,36,3,10,236,151,85,0.643,0.361,0.817,medium,0.729
Solve the quadratic equation scenario number 975.,Mathematics,apply,68.72,42,2,18,143,64,79,0.449,0.588,0.651,medium,0.543
Implement binary search for scenario number 976.,Computer Science,analyze,61.95,39,1,4,141,84,57,0.599,0.409,0.844,medium,0.72
Evaluate logical reasoning pattern in scenario number 977.,Engineering Aptitude,evaluate,72.56,47,2,16,188,68,120,0.365,0.68,0.598,hard,0.472
Compute circuit resistance for scenario number 978.,Physics,remember,49.21,21,1,20,131,112,19,0.858,0.184,0.824,easy,0.832
Solve the quadratic equation scenario number 979.,Mathematics,remember,45.08,36,1,18,104,79,25,0.767,0.234,0.671,easy,0.719
Implement binary search for scenario number 980.,Computer Science,remember,52.05,27,2,4,297,209,88,0.706,0.338,0.507,easy,0.598
Evaluate matrix determinant for scenario number 981.,Mathematics,evaluate,88.9,33,2,24,240,25,215,0.107,0.922,0.774,hard,0.435
Describe inheritance in scenario number 982.,Computer Science,analyze,58.29,17,3,22,127,86,41,0.681,0.327,0.617,medium,0.647
Calculate efficiency of machine with scenario number 983.,Engineering Aptitude,create,75.27,38,1,11,176,34,142,0.196,0.824,0.995,hard,0.591
Determine projectile motion range for scenario number 984.,Physics,remember,43.71,41,3,9,214,154,60,0.721,0.301,0.615,easy,0.664
Analyze time complexity of scenario number 985.,Computer Science,evaluate,80.32,47,3,13,206,59,147,0.289,0.758,0.77,hard,0.52
Calculate electric field for scenario number 986.,Physics,evaluate,84.31,49,2,14,134,20,114,0.155,0.867,0.696,hard,0.421
Describe inheritance in scenario number 987.,Computer Science,evaluate,78.1,45,2,8,290,86,204,0.299,0.712,0.953,hard,0.624
Compute definite integral of scenario number 988.,Mathematics,create,86.77,49,2,15,262,36,226,0.14,0.894,0.921,hard,0.524
Determine stress on beam under scenario number 989.,Engineering Aptitude,remember,43.43,32,3,15,263,190,73,0.724,0.309,0.625,easy,0.668
Apply Newton law to system scenario number 990.,Physics,analyze,67.55,16,2,18,282,132,150,0.469,0.537,0.598,medium,0.532
Evaluate matrix determinant for scenario number 991.,Mathematics,evaluate,71.11,20,2,20,245,96,149,0.395,0.62,0.8,hard,0.595
Compute definite integral of scenario number 992.,Mathematics,create,85.53,17,1,4,209,21,188,0.105,0.917,0.612,hard,0.354
Apply Newton law to system scenario number 993.,Physics,remember,45.83,40,3,19,191,155,36,0.813,0.212,0.866,easy,0.834
Apply Newton law to system scenario number 994.,Physics,understand,45.76,41,3,5,215,180,35,0.842,0.183,0.948,easy,0.89
Evaluate logical reasoning pattern in scenario number 995.,Engineering Aptitude,evaluate,89.65,35,3,12,196,32,164,0.166,0.847,0.902,hard,0.532
Implement binary search for scenario number 996.,Computer Science,apply,55.66,38,1,17,283,148,135,0.524,0.503,0.525,medium,0.519
Determine projectile motion range for scenario number 997.,Physics,create,70.05,43,2,15,192,42,150,0.223,0.809,0.856,hard,0.533
Solve the quadratic equation scenario number 998.,Mathematics,apply,57.68,31,3,3,213,140,73,0.659,0.38,0.584,medium,0.614
Evaluate logical reasoning pattern in scenario number 999.,Engineering Aptitude,evaluate,86.44,29,2,3,282,37,245,0.134,0.884,0.999,hard,0.563
Compute definite integral of scenario number 1000.,Mathematics,create,87.78,24,2,11,268,39,229,0.149,0.87,0.57,hard,0.356
Evaluate matrix determinant for scenario number 1001.,Mathematics,analyze,64.37,33,1,4,263,118,145,0.451,0.553,0.847,medium,0.648
Analyze time complexity of scenario number 1002.,Computer Science,analyze,66.77,30,2,9,270,111,159,0.412,0.632,0.657,medium,0.526
Determine projectile motion range for scenario number 1003.,Physics,understand,41.93,43,1,21,253,188,65,0.747,0.257,0.63,easy,0.688
Analyze time complexity of scenario number 1004.,Computer Science,evaluate,70.38,21,1,19,220,49,171,0.223,0.778,0.635,hard,0.429
Find derivative of function scenario number 1005.,Mathematics,create,86.09,49,3,10,131,30,101,0.232,0.807,0.892,hard,0.554
Solve the quadratic equation scenario number 1006.,Mathematics,remember,46.8,43,3,11,257,191,66,0.746,0.268,0.657,easy,0.699
Apply Newton law to system scenario number 1007.,Physics,analyze,56.75,30,3,6,186,125,61,0.673,0.333,0.86,medium,0.765
Describe inheritance in scenario number 1008.,Computer Science,understand,50.31,40,1,22,147,127,20,0.864,0.14,0.837,easy,0.85
Apply Newton law to system scenario number 1009.,Physics,evaluate,71.13,27,3,14,227,75,152,0.332,0.692,0.809,hard,0.566
Determine stress on beam under scenario number 1010.,Engineering Aptitude,apply,61.84,24,3,5,259,165,94,0.64,0.38,0.615,medium,0.624
Compute circuit resistance for scenario number 1011.,Physics,create,78.12,22,3,8,238,49,189,0.206,0.826,0.623,hard,0.408
Explain database normalization of scenario number 1012.,Computer Science,remember,41.64,17,2,17,109,87,22,0.807,0.196,0.728,easy,0.767
Analyze time complexity of scenario number 1013.,Computer Science,evaluate,88.84,47,2,7,146,26,120,0.181,0.842,0.855,hard,0.514
Find derivative of function scenario number 1014.,Mathematics,understand,46.59,46,3,14,162,139,23,0.86,0.16,0.668,easy,0.76
Evaluate matrix determinant for scenario number 1015.,Mathematics,remember,43.52,42,3,6,279,219,60,0.787,0.233,0.969,easy,0.874
Evaluate logical reasoning pattern in scenario number 1016.,Engineering Aptitude,apply,57.3,21,1,18,244,112,132,0.463,0.549,0.565,medium,0.512
Evaluate matrix determinant for scenario number 1017.,Mathematics,remember,50.73,37,1,24,285,234,51,0.822,0.207,0.685,easy,0.748
Implement binary search for scenario number 1018.,Computer Science,apply,62.29,31,1,20,135,90,45,0.668,0.355,0.765,medium,0.712
Implement binary search for scenario number 1019.,Computer Science,analyze,61.24,30,2,24,176,93,83,0.533,0.496,0.988,medium,0.755
Describe inheritance in scenario number 1020.,Computer Science,understand,47.98,24,1,3,151,130,21,0.863,0.186,0.694,easy,0.769
Calculate electric field for scenario number 1021.,Physics,remember,40.71,21,2,21,156,124,32,0.799,0.238,0.885,easy,0.835
Calculate efficiency of machine with scenario number 1022.,Engineering Aptitude,understand,47.49,31,2,24,167,126,41,0.756,0.28,0.621,easy,0.681
Analyze time complexity of scenario number 1023.,Computer Science,apply,57.58,32,3,23,184,80,104,0.435,0.597,0.642,medium,0.532
Evaluate matrix determinant for scenario number 1024.,Mathematics,create,70.0,40,1,6,150,38,112,0.256,0.772,0.781,hard,0.513
Analyze time complexity of scenario number 1025.,Computer Science,understand,47.13,36,1,6,108,90,18,0.838,0.182,0.938,easy,0.884
Compute circuit resistance for scenario number 1026.,Physics,analyze,61.23,24,2,19,232,94,138,0.407,0.609,0.961,medium,0.681
Find derivative of function scenario number 1027.,Mathematics,create,76.42,18,3,18,131,44,87,0.339,0.671,0.856,hard,0.595
Analyze time complexity of scenario number 1028.,Computer Science,remember,45.77,30,3,23,118,85,33,0.725,0.296,0.74,easy,0.728
Compute circuit resistance for scenario number 1029.,Physics,create,77.53,45,3,5,192,30,162,0.158,0.882,0.901,hard,0.522
Describe inheritance in scenario number 1030.,Computer Science,create,79.73,20,1,10,150,21,129,0.14,0.863,0.934,hard,0.536
Solve the quadratic equation scenario number 1031.,Mathematics,evaluate,75.89,43,1,12,155,139,16,0.898,0.128,0.602,easy,0.745
Calculate efficiency of machine with scenario number 1032.,Engineering Aptitude,evaluate,76.7,45,2,19,149,29,120,0.201,0.81,0.689,hard,0.443
Evaluate matrix determinant for scenario number 1033.,Mathematics,create,76.33,43,3,8,222,49,173,0.222,0.825,0.689,hard,0.446
Calculate electric field for scenario number 1034.,Physics,apply,64.96,15,3,4,202,90,112,0.447,0.561,0.88,medium,0.662
Explain database normalization of scenario number 1035.,Computer Science,analyze,55.24,31,2,18,221,153,68,0.694,0.343,0.964,medium,0.821
Explain database normalization of scenario number 1036.,Computer Science,analyze,67.06,49,3,3,124,62,62,0.508,0.498,0.795,medium,0.65
Implement binary search for scenario number 1037.,Computer Science,remember,47.88,35,3,23,158,139,19,0.882,0.123,0.525,easy,0.702
Calculate electric field for scenario number 1038.,Physics,evaluate,70.11,38,2,15,161,32,129,0.2,0.834,0.608,hard,0.397
Find derivative of function scenario number 1039.,Mathematics,remember,48.86,37,2,20,221,182,39,0.825,0.196,0.93,easy,0.873
Compute circuit resistance for scenario number 1040.,Physics,analyze,58.78,22,1,14,275,112,163,0.41,0.606,0.798,medium,0.601
Describe inheritance in scenario number 1041.,Computer Science,remember,49.07,21,2,16,298,216,82,0.727,0.318,0.825,easy,0.767
Implement binary search for scenario number 1042.,Computer Science,analyze,57.45,31,1,15,196,88,108,0.454,0.557,0.513,medium,0.481
Evaluate logical reasoning pattern in scenario number 1043.,Engineering Aptitude,remember,50.84,25,1,14,160,112,48,0.704,0.3,0.755,easy,0.729
Find derivative of function scenario number 1044.,Mathematics,create,89.39,42,1,7,239,83,156,0.349,0.699,0.849,hard,0.589
Analyze time complexity of scenario number 1045.,Computer Science,understand,43.12,23,2,24,146,63,83,0.437,0.592,0.882,medium,0.654
Apply Newton law to system scenario number 1046.,Physics,create,89.86,17,3,12,222,40,182,0.181,0.82,0.803,hard,0.492
Determine projectile motion range for scenario number 1047.,Physics,analyze,60.94,39,3,14,162,88,74,0.548,0.458,0.848,medium,0.697
Compute definite integral of scenario number 1048.,Mathematics,apply,58.09,44,1,21,280,122,158,0.438,0.607,0.932,medium,0.676
Apply Newton law to system scenario number 1049.,Physics,analyze,61.97,20,1,16,208,118,90,0.57,0.45,0.642,medium,0.602
Determine stress on beam under scenario number 1050.,Engineering Aptitude,remember,42.55,35,1,13,147,119,28,0.811,0.198,0.734,easy,0.771
Calculate efficiency of machine with scenario number 1051.,Engineering Aptitude,understand,54.52,20,3,4,207,162,45,0.787,0.261,0.917,easy,0.842
Solve the quadratic equation scenario number 1052.,Mathematics,remember,47.35,20,3,13,140,112,28,0.806,0.196,0.579,easy,0.692
Calculate electric field for scenario number 1053.,Physics,understand,52.19,30,2,7,231,196,35,0.853,0.17,0.895,easy,0.869
Evaluate logical reasoning pattern in scenario number 1054.,Engineering Aptitude,create,82.37,15,1,22,129,36,93,0.282,0.745,0.734,hard,0.503
Compute definite integral of scenario number 1055.,Mathematics,remember,44.41,38,3,9,171,131,40,0.768,0.248,0.794,easy,0.778
Solve the quadratic equation scenario number 1056.,Mathematics,understand,41.0,45,2,14,191,146,45,0.767,0.263,0.545,easy,0.65
Determine stress on beam under scenario number 1057.,Engineering Aptitude,remember,49.09,33,3,6,214,183,31,0.858,0.178,0.795,easy,0.819
Analyze time complexity of scenario number 1058.,Computer Science,remember,46.75,19,1,24,269,234,35,0.87,0.172,0.678,easy,0.766
Calculate efficiency of machine with scenario number 1059.,Engineering Aptitude,understand,52.49,32,3,14,137,110,27,0.805,0.213,0.999,easy,0.898
Analyze flowchart representing scenario number 1060.,Engineering Aptitude,analyze,66.59,40,3,10,206,129,77,0.628,0.379,0.786,medium,0.706
Evaluate matrix determinant for scenario number 1061.,Mathematics,create,75.07,20,3,6,267,36,231,0.135,0.914,0.654,hard,0.385
Determine stress on beam under scenario number 1062.,Engineering Aptitude,apply,56.95,25,1,10,252,166,86,0.659,0.389,0.623,medium,0.631
Calculate electric field for scenario number 1063.,Physics,apply,61.75,41,3,17,161,100,61,0.624,0.378,0.771,medium,0.697
Determine stress on beam under scenario number 1064.,Engineering Aptitude,remember,43.9,47,2,16,235,179,56,0.762,0.25,0.639,easy,0.698
Determine projectile motion range for scenario number 1065.,Physics,analyze,68.45,27,1,17,284,130,154,0.459,0.583,0.602,medium,0.522
Analyze flowchart representing scenario number 1066.,Engineering Aptitude,remember,51.14,28,3,23,152,119,33,0.787,0.239,0.647,easy,0.712
Compute definite integral of scenario number 1067.,Mathematics,analyze,55.23,32,1,10,286,174,112,0.611,0.393,0.825,medium,0.717
Compute circuit resistance for scenario number 1068.,Physics,understand,49.8,36,1,15,108,84,24,0.784,0.232,0.518,easy,0.648
Apply Newton law to system scenario number 1069.,Physics,analyze,57.05,28,2,14,263,169,94,0.643,0.364,0.734,medium,0.687
Describe inheritance in scenario number 1070.,Computer Science,evaluate,88.77,48,1,3,234,24,210,0.107,0.937,0.777,hard,0.433
Evaluate logical reasoning pattern in scenario number 1071.,Engineering Aptitude,evaluate,82.17,43,3,8,256,34,222,0.135,0.883,0.984,hard,0.556
Describe inheritance in scenario number 1072.,Computer Science,apply,68.84,25,3,12,138,68,70,0.496,0.517,0.978,medium,0.734
Apply Newton law to system scenario number 1073.,Physics,apply,68.85,19,1,21,175,92,83,0.527,0.481,0.713,medium,0.618
Apply Newton law to system scenario number 1074.,Physics,apply,63.06,23,3,6,120,100,20,0.836,0.196,0.955,easy,0.889
Evaluate logical reasoning pattern in scenario number 1075.,Engineering Aptitude,evaluate,70.36,42,1,16,167,64,103,0.387,0.65,0.831,hard,0.602
Calculate electric field for scenario number 1076.,Physics,remember,52.25,38,3,10,106,81,25,0.767,0.274,0.901,easy,0.826
Calculate electric field for scenario number 1077.,Physics,apply,67.69,29,1,15,206,122,84,0.594,0.426,0.703,medium,0.645
Find derivative of function scenario number 1078.,Mathematics,evaluate,83.59,18,3,11,152,34,118,0.226,0.822,0.842,hard,0.524
Evaluate logical reasoning pattern in scenario number 1079.,Engineering Aptitude,understand,51.88,18,1,7,179,141,38,0.789,0.22,0.599,easy,0.692
Calculate electric field for scenario number 1080.,Physics,evaluate,75.61,20,3,23,181,53,128,0.298,0.717,0.608,hard,0.45
Explain database normalization of scenario number 1081.,Computer Science,evaluate,73.17,45,1,19,162,22,140,0.141,0.897,0.899,hard,0.513
Compute definite integral of scenario number 1082.,Mathematics,evaluate,80.76,42,3,8,103,28,75,0.28,0.752,0.504,hard,0.386
Calculate electric field for scenario number 1083.,Physics,analyze,68.91,31,2,3,230,92,138,0.4,0.624,0.876,medium,0.633
Implement binary search for scenario number 1084.,Computer Science,analyze,67.35,39,2,17,222,105,117,0.475,0.557,0.939,medium,0.701
Solve the quadratic equation scenario number 1085.,Mathematics,remember,46.27,15,2,21,289,225,64,0.779,0.27,0.88,easy,0.82
Calculate electric field for scenario number 1086.,Physics,remember,47.67,15,3,5,214,177,37,0.827,0.214,0.9,easy,0.855
Calculate efficiency of machine with scenario number 1087.,Engineering Aptitude,apply,60.18,22,3,24,210,99,111,0.472,0.573,0.771,medium,0.613
Calculate electric field for scenario number 1088.,Physics,apply,69.68,17,3,12,242,161,81,0.666,0.352,0.689,medium,0.674
Determine projectile motion range for scenario number 1089.,Physics,remember,46.27,23,1,19,197,149,48,0.761,0.285,0.794,easy,0.768
Find derivative of function scenario number 1090.,Mathematics,evaluate,78.15,28,2,4,124,29,95,0.235,0.792,0.602,hard,0.413
Apply Newton law to system scenario number 1091.,Physics,evaluate,73.12,49,3,8,118,13,105,0.111,0.914,0.777,hard,0.439
Analyze time complexity of scenario number 1092.,Computer Science,apply,63.38,29,3,20,145,60,85,0.419,0.592,0.756,medium,0.585
Calculate efficiency of machine with scenario number 1093.,Engineering Aptitude,apply,63.19,30,3,12,118,72,46,0.613,0.414,0.572,medium,0.587
Implement binary search for scenario number 1094.,Computer Science,understand,40.14,25,3,19,281,235,46,0.837,0.184,0.824,easy,0.826
Analyze flowchart representing scenario number 1095.,Engineering Aptitude,create,76.19,47,2,10,196,35,161,0.179,0.821,0.759,hard,0.469
Implement binary search for scenario number 1096.,Computer Science,create,82.12,22,3,19,191,39,152,0.205,0.826,0.892,hard,0.542
Implement binary search for scenario number 1097.,Computer Science,create,82.96,27,3,17,185,22,163,0.12,0.916,0.903,hard,0.504
Compute circuit resistance for scenario number 1098.,Physics,apply,59.34,49,2,21,299,125,174,0.419,0.582,0.629,medium,0.524
Implement binary search for scenario number 1099.,Computer Science,understand,53.51,38,1,4,130,109,21,0.845,0.202,0.916,easy,0.871
Evaluate matrix determinant for scenario number 1100.,Mathematics,evaluate,82.47,38,2,13,112,16,96,0.146,0.894,0.755,hard,0.442
Find derivative of function scenario number 1101.,Mathematics,evaluate,89.55,28,2,13,107,24,83,0.228,0.787,0.58,hard,0.401
Implement binary search for scenario number 1102.,Computer Science,create,75.64,26,1,22,263,34,229,0.131,0.875,0.551,hard,0.34
Evaluate matrix determinant for scenario number 1103.,Mathematics,understand,49.15,31,2,24,166,123,43,0.746,0.27,0.605,easy,0.672
Analyze time complexity of scenario number 1104.,Computer Science,understand,47.38,35,2,22,253,146,107,0.577,0.426,0.513,medium,0.544
Implement binary search for scenario number 1105.,Computer Science,create,75.22,35,3,9,158,42,116,0.267,0.754,0.974,hard,0.616
Compute definite integral of scenario number 1106.,Mathematics,analyze,56.9,23,2,10,113,56,57,0.502,0.505,0.929,medium,0.714
Compute definite integral of scenario number 1107.,Mathematics,understand,44.63,33,3,10,122,97,25,0.799,0.237,0.544,easy,0.664
Apply Newton law to system scenario number 1108.,Physics,apply,65.02,31,2,22,119,62,57,0.521,0.486,0.753,medium,0.636
Analyze time complexity of scenario number 1109.,Computer Science,create,72.53,33,2,14,202,80,122,0.398,0.637,0.921,hard,0.652
Solve the quadratic equation scenario number 1110.,Mathematics,analyze,61.22,48,1,9,179,76,103,0.426,0.576,0.81,medium,0.618
